Campus,Semester Key,Semester,Level,Course Name,Course Number,Course Description,Credits,Grade,WI,E,O,H,Foun.,Div.,NI,UD,SF,Area,Area2,Area3,Area4,Area5,Attempted Credits,GPR Credits,Earned Credits,Quality Points,Repeats,College,Instructor,Banner Comments,Academic Pathway Comments,Transfer Institution,Transfer Course Name,Transfer Course Number, Transfer Course Description,Transfer Credits,Transfer Grade,Transfer Accept,Email,First Name,Last Name,Major Name
Manoa,201710,Fall 2016,UG,CHEM,161,General Chemistry I,3,D, , , , , ,DP, , , ,Not-used,Not-used,Not-used,Not-used,Not-used,3,0,0,0,SR,Colleges of Arts & Sciences,Kaiser Ralf, ,Banner repeatd course                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               , , , , , , , ,abi@hawaii.edu,Abigail,Kealoha,Manoa Undergraduate BS/CSCI
Manoa,201710,Fall 2016,UG,GER,201,Intermediate German,3,B-, , , , , , ,NI, , ,HSL 201( 2016-BA),,,,,3,3,3,8.1, ,Colleges of Arts & Sciences,Hawajska-Waters Anna, ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    , , , , , , , ,abi@hawaii.edu,Abigail,Kealoha,Manoa Undergraduate BS/CSCI
Manoa,201710,Fall 2016,UG,CHEM,161L,General Chemistry Lab I,1,B, , , , , ,DY, , , ,DY-DIV-LAB SCI( 2016-BA),,,,,1,1,1,3, ,Colleges of Arts & Sciences,Brayton Daniel, ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    , , , , , , , ,abi@hawaii.edu,Abigail,Kealoha,Manoa Undergraduate BS/CSCI
Manoa,201710,Fall 2016,UG,ICS,211,Intro to Computer Science II,4,B, , , , , , ,NI, , ,,ICS CORE-ICS 211( 2016-BA),,,,4,4,4,12, ,Colleges of Arts & Sciences,Moore Carleton, ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    , , , , , , , ,abi@hawaii.edu,Abigail,Kealoha,Manoa Undergraduate BS/CSCI
Manoa,201710,Fall 2016,UG,ICS,241,Discrete Mathematics II,3,C, , , , ,FS, ,NI, , ,,,,,,3,3,3,6, ,Colleges of Arts & Sciences,Baek Kyungim, ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    , , , , , , , ,abi@hawaii.edu,Abigail,Kealoha,Manoa Undergraduate BS/CSCI
Manoa,201710,Fall 2016,UG,LING,105,Language endangerment,3,A-, , , , ,FGB, , , , ,FGB-GLOBAL( 2016-BA),,,,,3,3,3,11.1, ,Colleges of Arts & Sciences,Terrell Jacob, ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    , , , , , , , ,abi@hawaii.edu,Abigail,Kealoha,Manoa Undergraduate BS/CSCI
Manoa,201730,Spring 2017,UG,PSY,100,Survey of Psychology,0,W, , , , , , , , , ,Not-used,Not-used,Not-used,Not-used,Not-used,0,0,0,0, ,Colleges of Arts & Sciences,Masuda Akihiko, ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    , , , , , , , ,abi@hawaii.edu,Abigail,Kealoha,Manoa Undergraduate BS/CSCI
Manoa,201730,Spring 2017,UG,ICS,311,Algorithms,4,C, , , , , , ,NI,UD, ,,ICS CORE-ICS 311( 2016-BA),,,,4,4,4,8, ,Colleges of Arts & Sciences,Sitchinava Nodar, ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    , , , , , , , ,abi@hawaii.edu,Abigail,Kealoha,Manoa Undergraduate BS/CSCI
Manoa,201730,Spring 2017,UG,ICS,314,Software Engineering I,3,A,WI, , , , , ,NI,UD, ,,ICS CORE-ICS 314( 2016-BA),,,,3,3,3,12, ,Colleges of Arts & Sciences,Johnson Philip, ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    , , , , , , , ,abi@hawaii.edu,Abigail,Kealoha,Manoa Undergraduate BS/CSCI
Manoa,201730,Spring 2017,UG,LING,150B,Language in HAP: Unit Mastery,3,F, , , , , , , , , ,Not-used,Not-used,Not-used,Not-used,Not-used,3,3,0,0, ,Colleges of Arts & Sciences,Terrell Jacob, ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    , , , , , , , ,abi@hawaii.edu,Abigail,Kealoha,Manoa Undergraduate BS/CSCI
Manoa,201730,Spring 2017,UG,GER,202,Intermediate German,3,B, , , , , , ,NI, , ,HSL 202( 2016-BA),,,,,3,3,3,9, ,Colleges of Arts & Sciences,Tran Jennie, ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    , , , , , , , ,abi@hawaii.edu,Abigail,Kealoha,Manoa Undergraduate BS/CSCI
Manoa,201730,Spring 2017,UG,ICS,ELNI,Nonintroductory Elective,3,CR, , , , , , ,NI, , ,,,,,, , , , , ,Colleges of Arts & Sciences,unknown,X,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,U of Hawaii Windward Comm Col,ICS,215,Introduction to Scripting,3,B,Y,abi@hawaii.edu,Abigail,Kealoha,Manoa Undergraduate BS/CSCI
Manoa,201740,Summer 2017,UG,CHEM,161,General Chemistry I,3,C, , , , , ,DP, , , ,DP-DIV-PHYS SCI( 2016-BA),,,,,3,3,3,6, ,Colleges of Arts & Sciences,Brayton Daniel, ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    , , , , , , , ,abi@hawaii.edu,Abigail,Kealoha,Manoa Undergraduate BS/CSCI
Manoa,201740,Summer 2017,UG,ICS,212,Program Structure,3,C, , , , , , ,NI, , ,,ICS CORE-ICS 212/215( 2016-BA),,,,3,3,3,6, ,Colleges of Arts & Sciences,Narayan Ravi, ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    , , , , , , , ,abi@hawaii.edu,Abigail,Kealoha,Manoa Undergraduate BS/CSCI
Manoa,201810,Fall 2017,UG,LING,150B,Language in HAP: Unit Mastery,3,***, , , ,H, ,DS, , , ,DS-LING( 2016-BA),,,,,0,0,0,0, ,Colleges of Arts & Sciences,Deen Kamil, ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    , , , , , , , ,abi@hawaii.edu,Abigail,Kealoha,Manoa Undergraduate BS/CSCI
Manoa,201810,Fall 2017,UG,ICS,361,AI Programming,3,***, , , , , , ,NI,UD, ,,,,,,0,0,0,0, ,Colleges of Arts & Sciences,Chin David, ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    , , , , , , , ,abi@hawaii.edu,Abigail,Kealoha,Manoa Undergraduate BS/CSCI
Manoa,201810,Fall 2017,UG,ICS,435,Machine Learning Fundamentals,3,***, , , , , , ,NI,UD, ,,,,,,0,0,0,0, ,Colleges of Arts & Sciences,Still Susanne, ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    , , , , , , , ,abi@hawaii.edu,Abigail,Kealoha,Manoa Undergraduate BS/CSCI
Manoa,201810,Fall 2017,UG,GER,361,Early German Civilization,3,***, , , , , ,DH,NI,UD, ,DH-DIV HUM( 2016-BA),,,,,0,0,0,0, ,Colleges of Arts & Sciences,Schweizer Niklaus, ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    , , , , , , , ,abi@hawaii.edu,Abigail,Kealoha,Manoa Undergraduate BS/CSCI
Manoa,201810,Fall 2017,UG,FR,101,Elementary French,3,***, , , , , , , , , ,,,,,,0,0,0,0, ,Colleges of Arts & Sciences,Debrah Joan, ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    , , , , , , , ,abi@hawaii.edu,Abigail,Kealoha,Manoa Undergraduate BS/CSCI
Manoa,201730,Spring 2017,UG,ICS,311,Algorithms,4,***, , , , , , ,NI,UD,,ICS CORE-ICS 311( 2014-BS),,,,0,0,0,0, ,,Colleges of Arts & Sciences,Sitchinava Nodar, ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    , , , , , , , ,cam@hawaii.edu,Cam,Damoore,
Manoa,201730,Spring 2017,UG,ICS,499,Computer Project,3,***, , , , , , ,NI,UD,,ICS UPPER ELEC( 2014-BS),,,,0,0,0,0, ,,Colleges of Arts & Sciences,Johnson Philip, ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    , , , , , , , ,cam@hawaii.edu,Cam,Damoore,
Manoa,201730,Spring 2017,UG,ICS,332,Operating Systems,3,***, , , , , , ,NI,UD,,ICS CORE-ICS 332( 2014-BS),,,,0,0,0,0, ,,Colleges of Arts & Sciences,Narayan Ravi, ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    , , , , , , , ,cam@hawaii.edu,Cam,Damoore,
Manoa,201710,Fall 2016,UG,ICS,331,Logic Design & Microprocessors,4,A-, , , , , , ,NI,UD,,ICS CORE-ICS 312/331( 2014-BS),,,,4,4,4,14.8, ,,Colleges of Arts & Sciences,Seidel Peter-Michael, ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    , , , , , , , ,cam@hawaii.edu,Cam,Damoore,
Manoa,201710,Fall 2016,UG,ICS,314,Software Engineering I,3,A,WI, , , , , ,NI,UD,,ICS ELEC-ICS 314( 2014-BS),,,,3,3,3,12, ,,Colleges of Arts & Sciences,Johnson Philip, ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    , , , , , , , ,cam@hawaii.edu,Cam,Damoore,
Manoa,201630,Spring 2016,UG,ICS,311,Algorithms,0,W, , , , , , , , ,Not-used,Not-used,Not-used,Not-used,Not-used,0,0,0,0, ,,Colleges of Arts & Sciences,Suthers Daniel, ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    , , , , , , , ,cam@hawaii.edu,Cam,Damoore,
Manoa,201630,Spring 2016,UG,ICS,332,Operating Systems,3,F, , , , , , , , ,Not-used,Not-used,Not-used,Not-used,Not-used,3,3,0,0, ,,Colleges of Arts & Sciences,Narayan Ravi, ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    , , , , , , , ,cam@hawaii.edu,Cam,Damoore,
Manoa,201610,Fall 2015,UG,ICS,311,Algorithms,0,W, , , , , , , , ,Not-used,Not-used,Not-used,Not-used,Not-used,0,0,0,0, ,,Colleges of Arts & Sciences,Sitchinava Nodar, ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    , , , , , , , ,cam@hawaii.edu,Cam,Damoore,
Manoa,201610,Fall 2015,UG,ICS,332,Operating Systems,0,W, , , , , , , , ,Not-used,Not-used,Not-used,Not-used,Not-used,0,0,0,0, ,,Colleges of Arts & Sciences,Narayan Ravi, ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    , , , , , , , ,cam@hawaii.edu,Cam,Damoore,
Manoa,201610,Fall 2015,UG,ICS,314,Software Engineering I,3,D,WI, , , , , ,NI,UD,Not-used,Not-used,Not-used,Not-used,Not-used,3,0,0,0,SR,,Colleges of Arts & Sciences,Johnson Philip, ,Banner repeatd course                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               , , , , , , , ,cam@hawaii.edu,Cam,Damoore,
Manoa,201530,Spring 2015,UG,ICS,321,Data Storage & Retrieval,3,B, , , , , , ,NI,UD,,ICS CORE-ICS 321( 2014-BS),,,,3,3,3,9, ,,Colleges of Arts & Sciences,Lim Lipyeow, ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    , , , , , , , ,cam@hawaii.edu,Cam,Damoore,
Manoa,201530,Spring 2015,UG,ICS,241,Discrete Mathematics II,3,CR, , , , , , ,NI, ,,ICS CORE-ICS 241( 2014-BS),,,, , , , , ,,Colleges of Arts & Sciences,unknown,X,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,U of Hawaii Windward Comm Col,ICS,241,Discrete Mathematics II,3,A,Y,cam@hawaii.edu,Cam,Damoore,
Manoa,201510,Fall 2014,UG,ICS,211,Intro to Computer Science II,3,CR, , , , , , ,NI, ,,ICS CORE-ICS 211( 2014-BS),,,, , , , , ,,Colleges of Arts & Sciences,unknown,X,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,U of Hawaii Leeward Comm Col,ICS,211,Intro to Computer Science II,3,A,Y,cam@hawaii.edu,Cam,Damoore,
Manoa,201510,Fall 2014,UG,ICS,ELNI,Nonintroductory Elective,3,CR, , , , , , ,NI, ,,ICS CORE-ICS 212( 2014-BS),,,, , , , , ,,Colleges of Arts & Sciences,unknown,X,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,U of Hawaii Leeward Comm Col,ICS,212,Program Structure,3,A,Y,cam@hawaii.edu,Cam,Damoore,
Manoa,201510,Fall 2014,UG,PHYS,272,General Physics II,3,CR, , , , , ,DP,NI, ,DIV-PHYS 152/272( 2014-BS),,,,, , , , , ,,Colleges of Arts & Sciences,unknown,X,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,U of Hawaii Leeward Comm Col,PHYS,272,Gen Physics II,3,A,Y,cam@hawaii.edu,Cam,Damoore,
Manoa,201510,Fall 2014,UG,PHYS,272L,General Physics II Lab,1,CR, , , , , ,DY,NI, ,DIV-PHYS 152L/272L( 2014-BS),,,,, , , , , ,,Colleges of Arts & Sciences,unknown,X,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,U of Hawaii Leeward Comm Col,PHYS,272L,Gen Phys II Lab,1,A,Y,cam@hawaii.edu,Cam,Damoore,
Manoa,201430,Spring 2014,UG,PHYS,170,General Physics I,4,CR, , , , , ,DP, , ,,,,,, , , , , ,,Colleges of Arts & Sciences,unknown,X,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,U of Hawaii Leeward Comm Col,PHYS,170,General Phys I,4,A,Y,cam@hawaii.edu,Cam,Damoore,
Manoa,201410,Fall 2013,UG,ICS,141,Discrete Math for CS I,3,CR, , , , ,FS, , , ,,ICS CORE-ICS 141( 2014-BS),,,, , , , , ,,Colleges of Arts & Sciences,unknown,X,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,U of Hawaii Leeward Comm Col,ICS,141,Discrete Math for Comp Sci I,3,A,Y,cam@hawaii.edu,Cam,Damoore,
Manoa,201340,Summer 2013,UG,ICS,111,Intro to Computer Science I,3,CR, , , , , , , , ,,ICS CORE-ICS 111( 2014-BS),,,, , , , , ,,Colleges of Arts & Sciences,unknown,X,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,U of Hawaii Leeward Comm Col,ICS,111,Intro Comp Sci I,3,B,Y,cam@hawaii.edu,Cam,Damoore,
Manoa,201330,Spring 2013,UG,MATH,243,Calculus III,4,CR, , , , , , ,NI, ,,,,,, , , , , ,,Colleges of Arts & Sciences,unknown,X,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,U of Hawaii Kapiolani Comm Col,MATH,231,Calculus III,4,B,Y,cam@hawaii.edu,Cam,Damoore,
Manoa,201330,Spring 2013,UG,PHYS,170L,General Physics I Lab,1,CR, , , , , ,DY, , ,DIV-PHYS 151L/170L( 2014-BS),,,,, , , , , ,,Colleges of Arts & Sciences,unknown,X,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,U of Hawaii Kapiolani Comm Col,PHYS,170L,General Physics Lab I,1,A,Y,cam@hawaii.edu,Cam,Damoore,
Manoa,201310,Fall 2012,UG,MATH,242,Calculus II,4,CR, , , , , , ,NI, ,FS-SYMBOLIC REASON II( 2014-BS),,,,, , , , , ,,Colleges of Arts & Sciences,unknown,X,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,U of Hawaii Kapiolani Comm Col,MATH,206,Calculus II,4,C,Y,cam@hawaii.edu,Cam,Damoore,
Manoa,201240,Summer 2012,UG,CHEM,162L,General Chemistry Lab II,0,CR, , , , , ,DY, , ,DIV-CHEM 162L( 2014-BS),,,,, , , , , ,,Colleges of Arts & Sciences,unknown,X,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,U of Hawaii Leeward Comm Col,CHEM,162B, , , ,Y,cam@hawaii.edu,Cam,Damoore,
Manoa,201240,Summer 2012,UG,CHEM,162,General Chemistry II,4,CR, , , , , ,DP, , ,DIV-CHEM 162( 2014-BS),,,,, , , , , ,,Colleges of Arts & Sciences,unknown,X,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,U of Hawaii Leeward Comm Col,CHEM,162B,General Chem II,4,B,Y,cam@hawaii.edu,Cam,Damoore,
Manoa,201230,Spring 2012,UG,CHEM,161,General Chemistry I,3,CR, , , , , ,DP, , ,DIV-CHEM 161( 2014-BS),,,,, , , , , ,,Colleges of Arts & Sciences,unknown,X,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,U of Hawaii Honolulu Comm Col,CHEM,161,General Chemistry I,3,A,Y,cam@hawaii.edu,Cam,Damoore,
Manoa,201230,Spring 2012,UG,CHEM,161L,General Chemistry I Lab,1,CR, , , , , ,DY, , ,DIV-CHEM 161L( 2014-BS),,,,, , , , , ,,Colleges of Arts & Sciences,unknown,X,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,U of Hawaii Honolulu Comm Col,CHEM,161L,General Chemistry I Laboratory,1,A,Y,cam@hawaii.edu,Cam,Damoore,
Manoa,200930,Spring 2009,UG,ART,314,Intermediate Life Drawing,3,B, , , , , ,DA,NI,UD,,,,,,3,3,3,9, ,,Colleges of Arts & Sciences,Drexler Debra, ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    , , , , , , , ,cam@hawaii.edu,Cam,Damoore,
Manoa,200930,Spring 2009,UG,ENG,272,Intro to Lit: Culture & Lit,3,A,WI, , , , ,DL,NI, ,,,,,,3,3,3,12, ,,Colleges of Arts & Sciences,Paudyal Bed, ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    , , , , , , , ,cam@hawaii.edu,Cam,Damoore,
Manoa,200830,Spring 2008,UG,OTHO,ELEC,Elective,4,CR, , , , , , , , ,,,,,, , , , , ,,College Not Designated,unknown,X,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,U of Hawaii Kapiolani Comm Col,PTA,242,Adv Therapeutic Interventions,4,A,Y,cam@hawaii.edu,Cam,Damoore,
Manoa,200830,Spring 2008,UG,OTHO,ELEC,Elective,2,CR,WI, , , , , , , ,,,,,, , , , , ,,College Not Designated,unknown,X,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,U of Hawaii Kapiolani Comm Col,PTA,251,WI-Professional Issues III,2,A,Y,cam@hawaii.edu,Cam,Damoore,
Manoa,200830,Spring 2008,UG,OTHO,ELEC,Elective,3,CR, , , , , , , , ,,,,,, , , , , ,,College Not Designated,unknown,X,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,U of Hawaii Kapiolani Comm Col,PTA,252,Clinical Internship II,3,B,Y,cam@hawaii.edu,Cam,Damoore,
Manoa,200830,Spring 2008,UG,OTHO,ELEC,Elective,1,CR, , , , , , , , ,,,,,, , , , , ,,College Not Designated,unknown,X,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,U of Hawaii Kapiolani Comm Col,PTA,265,Electrotherapy,1,A,Y,cam@hawaii.edu,Cam,Damoore,
Manoa,200830,Spring 2008,UG,OTHO,ELEC,Elective,1,CR, , , , , , , , ,,,,,, , , , , ,,College Not Designated,unknown,X,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,U of Hawaii Kapiolani Comm Col,PTA,265L,Electrotherapy Lab,1,B,Y,cam@hawaii.edu,Cam,Damoore,
Manoa,200830,Spring 2008,UG,OTHO,ELEC,Elective,2,CR, , , , , , , , ,,,,,, , , , , ,,College Not Designated,unknown,X,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,U of Hawaii Kapiolani Comm Col,PTA,275,Pediatrics for the PTA,2,A,Y,cam@hawaii.edu,Cam,Damoore,
Manoa,200810,Fall 2007,UG,OTHO,ELNI,Nonintroductory Elective,1,CR,WI, , , , , ,NI, ,,,,,, , , , , ,,College Not Designated,unknown,X,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,U of Hawaii Kapiolani Comm Col,HLTH,270,WI-Aging and Rehabilitation,1,A,Y,cam@hawaii.edu,Cam,Damoore,
Manoa,200810,Fall 2007,UG,OTHO,ELNI,Nonintroductory Elective,2,CR, , , , , , ,NI, ,,,,,, , , , , ,,College Not Designated,unknown,X,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,U of Hawaii Kapiolani Comm Col,HLTH,280,Disease & Disability for Rehab,2,A,Y,cam@hawaii.edu,Cam,Damoore,
Manoa,200810,Fall 2007,UG,OTHO,ELEC,Elective,1,CR, , , , , , , , ,,,,,, , , , , ,,College Not Designated,unknown,X,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,U of Hawaii Kapiolani Comm Col,PTA,202,Thermal Agents,1,A,Y,cam@hawaii.edu,Cam,Damoore,
Manoa,200810,Fall 2007,UG,OTHO,ELEC,Elective,1,CR, , , , , , , , ,,,,,, , , , , ,,College Not Designated,unknown,X,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,U of Hawaii Kapiolani Comm Col,PTA,202L,Thermal Agents Lab,1,A,Y,cam@hawaii.edu,Cam,Damoore,
Manoa,200810,Fall 2007,UG,OTHO,ELEC,Elective,1.5,CR, , , , , , , , ,,,,,, , , , , ,,College Not Designated,unknown,X,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,U of Hawaii Kapiolani Comm Col,PTA,204,Traction,1.5,B,Y,cam@hawaii.edu,Cam,Damoore,
Manoa,200810,Fall 2007,UG,OTHO,ELEC,Elective,2,CR, , , , , , , , ,,,,,, , , , , ,,College Not Designated,unknown,X,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,U of Hawaii Kapiolani Comm Col,PTA,212,PT InterventionsNeuropathology,2,A,Y,cam@hawaii.edu,Cam,Damoore,
Manoa,200810,Fall 2007,UG,OTHO,ELEC,Elective,3,CR, , , , , , , , ,,,,,, , , , , ,,College Not Designated,unknown,X,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,U of Hawaii Kapiolani Comm Col,PTA,232,Clinical Internship I,3,A,Y,cam@hawaii.edu,Cam,Damoore,
Manoa,200810,Fall 2007,UG,OTHO,ELEC,Elective,1,CR, , , , , , , , ,,,,,, , , , , ,,College Not Designated,unknown,X,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,U of Hawaii Kapiolani Comm Col,PTA,297,TherEx forOrthopedicConditions,1,B,Y,cam@hawaii.edu,Cam,Damoore,
Manoa,200810,Fall 2007,UG,OTHO,ELEC,Elective,1,CR, , , , , , , , ,,,,,, , , , , ,,College Not Designated,unknown,X,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,U of Hawaii Kapiolani Comm Col,PTA,297L,TherEx Lab Ortho Conditions,1,A,Y,cam@hawaii.edu,Cam,Damoore,
Manoa,200740,Summer 2007,UG,OTHO,ELEC,Elective,1.5,CR, , , , , , , , ,,,,,, , , , , ,,College Not Designated,unknown,X,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,U of Hawaii Kapiolani Comm Col,HLTH,201,"Transfer, Position, Mobility",1.5,B,Y,cam@hawaii.edu,Cam,Damoore,
